STATE ABBREVIATION,DISTRICT,FEC ID,INCUMBENT INDICATOR,FIRST NAME,LAST NAME,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL,GENERAL %
CA,11,H6CA07043,(I),George ,Miller,D,"76,163",58.49%,,,"200,743",69.73%
CA,11,H8CA07031,,Virginia,Fuller,R,"40,333",30.97%,,,"87,136",30.27%
CA,11,H0CA07111,,John ,Fitzgerald,D,"9,092",6.98%,,,,
CA,11,H2CA11168,,Cheryl ,Sudduth,D,"4,635",3.56%,,,,
CA,11,n/a,,,,,"130,223",,,,"287,879",
CA,,n/a,,,,,,,,,,
CA,12,H8CA05035,(I),Nancy ,Pelosi,D,"89,446",74.88%,,,"253,709",85.08%
CA,12,H0CA08069,,John ,Dennis,R,"16,206",13.57%,,,"44,478",14.92%
CA,12,H4CA12089,,Barry,Hermanson,GRE,"6,398",5.36%,,,,
CA,12,H0CA10172,,David ,Peterson,D,"3,756",3.14%,,,,
CA,12,H0CA08077,,Summer Justice,Shields,D,"2,146",1.80%,,,,
CA,12,H2CA11176,,Am_rico Arturo,Diaz,D,"1,499",1.25%,,,,
CA,12,n/a,,,,,"119,451",,,,"298,187",
CA,,n/a,,,,,,,,,,
CA,13,H8CA09060,(I),Barbara ,Lee,D,"94,709",83.11%,,,"250,436",86.78%
CA,13,H2CA13099,,Marilyn M.,Singleton,NOP,"13,502",11.85%,,,"38,146",13.22%
CA,13,H0CA13093,,Justin,Jelincic,D,"5,741",5.04%,,,,
CA,13,n/a,,,,,"113,952",,,,"288,582",
CA,,n/a,,,,,,,,,,
CA,14,H8CA12171,(I),Jackie ,Speier,D,"80,850",74.34%,,,"203,828",78.92%
CA,14,H2CA14139,,Deborah (Debbie),Bacigalupi,R,"23,299",21.42%,,,"54,455",21.08%
CA,14,H8CA12148,,Michael J.,Moloney,D,"4,607",4.24%,,,,
CA,14,n/a,,,,,"108,756",,,,"258,283",
CA,,n/a,,,,,,,,,,
CA,15,H2CA15094,,Eric,Swalwell,D,"34,347",36.19%,,,"120,388",52.11%
CA,15,H6CA09023,(I),Fortney Pete ,Stark,D,"39,943",42.09%,,,"110,646",47.89%
CA,15,H0CA13119,,"Christopher ""Chris"" J.",Pareja,NOP,"20,618",21.72%,,,,
CA,15,n/a,,,,,"94,908",,,,"231,034",
CA,,n/a,,,,,,,,,,
CA,16,H4CA20082,(I),Jim,Costa,D,"25,355",42.67%,,,"84,649",57.41%
CA,16,H2CA16092,,Brian Daniel ,Whelan,R,"15,053",25.33%,,,"62,801",42.59%
CA,16,H2CA16100,,Johnny M. ,Tacherra,R,"6,776",11.40%,,,,
CA,16,H2CA16118,,Mark ,Garcia,R,"6,529",10.99%,,,,
CA,16,H0CA19132,,Loraine ,Goodwin,D,"5,703",9.60%,,,,
CA,16,n/a,,,,,"59,416",,,,"147,450",
CA,,n/a,,,,,,,,,,
CA,17,H0CA15148,(I),Mike ,Honda,D,"60,252",66.70%,,,"159,392",73.54%
CA,17,H2CA17090,,Evelyn ,Li,R,"24,916",27.58%,,,"57,336",26.46%
CA,17,H2CA17108,,Charles ,Richardson,NOP,"5,163",5.72%,,,,
CA,17,n/a,,,,,"90,331",,,,"216,728",
CA,,n/a,,,,,,,,,,
CA,18,H8CA12098,(I),Anna G.,Eshoo,D,"86,851",61.46%,,,"212,831",70.49%
